exerciseNumber,puzzleId,difficulty,game,solutionSequence,moveCount,extractionConfidence,sourcePdfPage
337,intermediate-0337,intermediate,"Jose Raul Capablanca - Valentin Marin y Llovet, Barcelona (simul) 1920","[""Rxa2+"", ""Qxa2"", ""Ra6"", ""Qxa6"", ""Qxa6+""]",5,medium,262
338,intermediate-0338,intermediate,"Jose Raul Capablanca - M. Coll, Barcelona (simul) 1920","[""Nxf7"", ""Kxf7"", ""Qc7"", ""Qxe6"", ""Bf8"", ""Nxh6+"", ""Kh8"", ""Qg8+"", ""Nxg8"", ""Nf7#"", ""Qxe6+"", ""Kf8"", ""Bg6""]",13,low,262
339,intermediate-0339,intermediate,"Jose Raul Capablanca - E.S. Maddock, New York (simul) 1922","[""Nxf6"", ""Bxf3"", ""Bxf3"", ""Nxd7"", ""Bxe2"", ""Nxe5"", ""Bxd1+"", ""Kxd1"", ""f6"", ""Qd6"", ""Bxe5""]",11,medium,262
340,intermediate-0340,intermediate,"Jose Raul Capablanca - Perkins, New York (simul) 1924","[""f4"", ""Rxh8"", ""gxf4"", ""exf4"", ""Bxf4"", ""Nd4+"", ""Ke3"", ""Nxc2+""]",8,medium,262
341,intermediate-0341,intermediate,"Efim Bogoljubov - Jose Raul Capablanca, New York 1924","[""Nxd4"", ""cxd4"", ""R8xc5"", ""Rxc4"", ""Rxc4""]",5,medium,262
342,intermediate-0342,intermediate,"Frank Marshall - Jose Raul Capablanca, New York 1927","[""Rd5"", ""Qf3"", ""Qc4"", ""Ne5"", ""Ne5""]",5,medium,262
343,intermediate-0343,intermediate,"Jose Raul Capablanca - A. Souza Campos, Sao Paulo 1927","[""Rh3+"", ""Kg8"", ""Nxf6+"", ""Kf8"", ""gxf6"", ""Bxf6""]",6,medium,263
344,intermediate-0344,intermediate,"Jose Raul Capablanca - C.H. Reid, London 1928","[""Rxh4+"", ""Bxg2"", ""Nxg2"", ""h4"", ""Rhg8"", ""Bh3"", ""f5"", ""gxh4"", ""Bxg2"", ""Kxg2"", ""fxe5"", ""Qh3+"", ""Kg1"", ""Bxf1"", ""Qg4+"", ""Kf2"", ""Qxh4+""]",17,low,263
345,intermediate-0345,intermediate,"Jose Raul Capablanca - Gracie Square Pharmacy Chess Club, New York (simul) 1931","[""f6+"", ""Rfxf6"", ""Nh5+"", ""Kh7"", ""Kh8"", ""Qh6+"", ""Kg8"", ""Qg7#""]",8,medium,263
346,intermediate-0346,intermediate,"Jose Raul Capablanca - Glicco, Mexico 1933","[""Bxf7+"", ""Kh7"", ""Qxf7"", ""Nxh6+""]",4,medium,263
347,intermediate-0347,intermediate,"Jose Raul Capablanca - George Thomas, Hastings 1934","[""Qa5""]",1,medium,263
348,intermediate-0348,intermediate,"Jose Raul Capablanca - Llusa, Barcelona (simul) 1935","[""Qxh7+"", ""Rxf4"", ""Rxf4"", ""Kf7"", ""Rxf4+"", ""Qxf4"", ""Rf1"", ""Qxf1+"", ""Bxf1+""]",9,medium,263
349,intermediate-0349,intermediate,"Jose Raul Capablanca - Andor Lilienthal, Moscow 1936","[""Nxb7"", ""Rxb7"", ""Nxc4"", ""Bxc6+"", ""Bxc6+"", ""Rd7+""]",6,medium,263
350,intermediate-0350,intermediate,"Jose Raul Capablanca - J.C. Rather, New York (simul) 1936","[""Nxd5"", ""Qxd5"", ""Nxd5"", ""Rxh7+"", ""Kxh7"", ""Rh1#""]",6,medium,264
351,intermediate-0351,intermediate,"V. Malkov - Alexander Alekhine, corr. 1902","[""Rh7+"", ""Kxh7"", ""Qh5+"", ""Kg8"", ""Kg7"", ""Qh6+""]",6,medium,264
352,intermediate-0352,intermediate,"Alexander Alekhine - Nikolay Zubakin, corr. 1902","[""Rxd4+"", ""exd4"", ""Bf4+"", ""Kd1"", ""Qxd4+"", ""Qd3"", ""Qxd3#""]",7,medium,264
353,intermediate-0353,intermediate,"Alexander Alekhine - S. Antushev, corr. 1903","[""Nxe5"", ""Bxd1"", ""Nxe5"", ""Qxh5+""]",4,medium,264
354,intermediate-0354,intermediate,"Alexander Alekhine - V. Zhukovsky, corr. 1905","[""Nf2"", ""Qb5+"", ""c4"", ""Nh2+"", ""Kg1"", ""Nf3+"", ""Kh1"", ""Rg8"", ""Qxh3+"", ""hxg3"", ""g2#"", ""Bxg3"", ""Rxg3"", ""Qf8+"", ""Kg1"", ""Bxg3"", ""Nxh3"", ""gxh3"", ""Qf3+""]",19,low,264
355,intermediate-0355,intermediate,"V.M. Manko - Alexander Alekhine, corr. 1906","[""Nxh7"", ""Rxh7+"", ""Rxh7"", ""Rxh7+"", ""Kxh7"", ""Qxc7+"", ""Kh6"", ""Rd8+""]",8,medium,264
356,intermediate-0356,intermediate,"Alexander Alekhine - Otto Kunze, Düsseldorf 1908","[""Bxg6"", ""Nxg6"", ""Qxe6+"", ""Kh8"", ""Qxg6""]",5,medium,264
357,intermediate-0357,intermediate,"Alexander Alekhine - H. Koehnlein, Düsseldorf 1908","[""Qxd6"", ""Nf7+"", ""Rxf7"", ""Bxf7"", ""Bd7+"", ""cxd6"", ""Nf7+"", ""Rxf7"", ""Re8+"", ""Rf8"", ""Rxf8#""]",11,medium,264
358,intermediate-0358,intermediate,"Alexander Alekhine - Dawid Daniuszewski, St Petersburg 1909","[""Qxg6"", ""fxg6"", ""Rxf1""]",3,medium,265
359,intermediate-0359,intermediate,"Alexander Alekhine - Savielly Tartakower, Hamburg 1910","[""Nd5+"", ""Ke8"", ""exd5"", ""Rae1+""]",4,medium,265
360,intermediate-0360,intermediate,"Alexander Alekhine - Krotky, Tula (simul) 1910","[""Rxf7"", ""Qxf7"", ""Nb6+"", ""axb6"", ""Bxf7""]",5,medium,265
361,intermediate-0361,intermediate,"Alexander Alekhine - Gutkevitsch, Moscow (simul) 1910","[""Bh6"", ""Nxg7"", ""Kxg7"", ""Bh6+"", ""Kh8"", ""Ne8"", ""gxh6"", ""Qxh6+""]",8,medium,265
362,intermediate-0362,intermediate,"Ossip Bernstein - Alexander Alekhine, Vilnius 1912","[""Nxc3"", ""Bxg6"", ""Qxc3"", ""Bxe4""]",4,medium,265
363,intermediate-0363,intermediate,"Alexander Alekhine - Boris Koyalovich, St Petersburg 1912","[""Bd4"", ""Qf6+"", ""Qxh8+"", ""Rxd4"", ""Bxc4+"", ""Kf2"", ""Rxc4"", ""Qxc4+""]",8,medium,265
364,intermediate-0364,intermediate,"Dawid Janowski - Alexander Alekhine, Scheveningen 1913","[""Ncd6+"", ""Bxd6"", ""Nc7+"", ""Rxc7"", ""Qxa6+""]",5,medium,265
365,intermediate-0365,intermediate,"Alexander Alekhine - Efim Bogoljubov, St Petersburg 1913","[""Rxf2"", ""Bxf7+"", ""Rxf2"", ""Re1+"", ""Rf1"", ""Rxf1#""]",6,medium,265
366,intermediate-0366,intermediate,"Sergey Lebedev - Alexander Alekhine, St Petersburg 1914","[""Rc2"", ""Rxb2"", ""Rxc2"", ""Nc4"", ""Bxf4"", ""exf4"", ""Qd4""]",7,medium,266
367,intermediate-0367,intermediate,"Dawid Janowski - Alexander Alekhine, Mannheim 1914","[""Rg8+"", ""Rh7+"", ""Kxh7"", ""Qxe4+"", ""Rf5"", ""Bxd6"", ""Qxf3"", ""Rxg8"", ""Qxd4+"", ""Kh7"", ""Qxe4+"", ""Rg6"", ""Kh8"", ""Bxd6+""]",14,low,266
368,intermediate-0368,intermediate,"Nikolay Tselikov - Alexander Alekhine, Moscow 1915","[""Rxg2+"", ""Kxg2"", ""d4+""]",3,medium,266
369,intermediate-0369,intermediate,"Alexander Alekhine - Feldt, Tarnopol (blindfold simul) 1916","[""Nf7"", ""Nc6"", ""Bxc6"", ""Qxe6+"", ""Kh8"", ""Qxc6+"", ""Kxf7"", ""Qxe6+"", ""Kg6"", ""Kxe6"", ""Ng5#""]",11,medium,266
370,intermediate-0370,intermediate,"Alexander Alekhine - Vasiutinsky, Odessa (simul) 1918","[""Nxf7"", ""Kxf7"", ""Qxe6+"", ""Kf8"", ""Qxe7+""]",5,medium,266
371,intermediate-0371,intermediate,"Nikolay Pavlov-Pianov - Alexander Alekhine, Moscow 1919","[""Qxh2+"", ""Qxg4+"", ""Rg2"", ""Qxf5"", ""Kxh2"", ""Nxg4+"", ""Kg3"", ""Nxe3""]",8,medium,266
372,intermediate-0372,intermediate,"Alexander Alekhine - Nikolay Grigoriev, Moscow 1919","[""Nxf7""]",1,medium,266
373,intermediate-0373,intermediate,"Ilya Rabinovich - Alexander Alekhine, Moscow 1920","[""Nxc4"", ""Qxc4"", ""d5"", ""Qb5"", ""a6""]",5,medium,266
374,intermediate-0374,intermediate,"Alexander Alekhine - G. Resser, The Hague (simul) 1921","[""Qf6+"", ""Ke8"", ""e6"", ""Qf5"", ""Qg6"", ""exf7+"", ""Qh8+"", ""Ke7"", ""Bc5+"", ""Qxf7"", ""Re6+"", ""Kf8"", ""Qxh6+"", ""Qh8+"", ""exf7+"", ""Kf8"", ""Bc5+"", ""Rxc5"", ""Qxd8+"", ""Kxf7"", ""Rb7+""]",21,low,267
375,intermediate-0375,intermediate,"Joaquin Torres Caravaca - Alexander Alekhine, Spain (simul) 1922","[""Bxd4"", ""Rxd4"", ""Rxd4"", ""Nxd4"", ""Qxh3"", ""Bxd4"", ""Nxd4"", ""Qxh3"", ""Rxd4"", ""Nxd4"", ""Qxh3"", ""gxh3"", ""Nf2+"", ""Kg1"", ""Nxh3#""]",15,low,267
376,intermediate-0376,intermediate,"Alexander Alekhine - Frederick Yates, Hastings 1922","[""R8c3+"", ""R1c3+"", ""bxc3"", ""Rxc3+"", ""Bd3"", ""Qf1+"", ""Ke3"", ""Rxd3+"", ""Qxd3"", ""Qxd3+"", ""Kxd3"", ""Kxf7""]",12,medium,267
377,intermediate-0377,intermediate,"Alexander Alekhine - N.N., Berlin 1922","[""Nxc6"", ""Bxc6"", ""Rxc6"", ""Rxc6"", ""Qxe4"", ""dxe4"", ""Rxd8+""]",7,medium,267
378,intermediate-0378,intermediate,"Alexander Alekhine - Manuel Golmayo de la Torriente, Spain 1922","[""f6"", ""Bxd7"", ""Rxd7"", ""Qe5"", ""Qxb2"", ""Qxc5"", ""Qe8+"", ""Bf8"", ""Qxd7"", ""Rdd2"", ""Qxc5"", ""Rh2+"", ""Kg1"", ""Rbg2#"", ""gxf6"", ""Nxf6"", ""Qb8+""]",17,low,267
379,intermediate-0379,intermediate,"Siegbert Tarrasch - Alexander Alekhine, Bad Pistyan 1922","[""Ng3+"", ""Kg1"", ""fxg3"", ""Qxg3""]",4,medium,267
380,intermediate-0380,intermediate,"Alexander Alekhine - Heinrich Wolf, Bad Pistyan 1922","[""Rxe6"", ""fxe6"", ""Ng5+""]",3,medium,267
381,intermediate-0381,intermediate,"Alexander Alekhine - Frederick Yates, Portsmouth 1923","[""f3"", ""Nd2"", ""Rxd6"", ""Qxd6"", ""Qxe8+""]",5,medium,267
382,intermediate-0382,intermediate,"Alexander Alekhine - Lester Samuels, New York (simul) 1923","[""Rxa7"", ""Qd5"", ""Kxa7"", ""Qa3+"", ""b6+"", ""Ka6"", ""Rc5"", ""Ra8"", ""Qb4"", ""Kb6"", ""Qc5+""]",11,medium,268
383,intermediate-0383,intermediate,"Alexander Alekhine - Reib, Prague (simul) 1923","[""Bg5""]",1,medium,268
384,intermediate-0384,intermediate,"Alexander Alekhine - Menzel, Boston (simul) 1923","[""Ra8+"", ""Nxa8"", ""Ne8"", ""Bc5"", ""Qxb7"", ""Rxe8+"", ""Rf8"", ""Rxf8#"", ""Nd7"", ""Rf8"", ""Rxf8+"", ""Kxf8"", ""Qb8+"", ""Ne8"", ""Bc5+"", ""Qc8+"", ""Rf8"", ""Qxe6+"", ""Kh8"", ""Nf7+"", ""Kg8"", ""Rxf7"", ""Qc8+""]",23,low,268
385,intermediate-0385,intermediate,"Alexander Alekhine - John Drewitt, Portsmouth 1923","[""Bxh7+"", ""Kxh7"", ""Rh3+"", ""Kg8"", ""Qh5"", ""Bxg7"", ""f6"", ""Bh6"", ""Qh7"", ""Qh5"", ""Bf8"", ""Qg4+"", ""Kf7"", ""Bxf8+"", ""f6"", ""Bxa3"", ""Qxa3"", ""Qh8+"", ""Kf7"", ""Qxd8"", ""Qc1+"", ""Nf1+""]",22,low,268
386,intermediate-0386,intermediate,"Siegbert Tarrasch - Alexander Alekhine, Karlsbad 1923","[""Rxd4"", ""Qxd4"", ""Qf8#"", ""Be3"", ""fxe3"", ""Rf1"", ""Qxh2+"", ""Kf1"", ""Qh1#""]",9,medium,268
387,intermediate-0387,intermediate,"Alexander Alekhine - Herman Steiner, New York (simul) 1924","[""Rxh2+"", ""Kxh2"", ""Nf3+"", ""Kg2"", ""Nxd4""]",5,medium,268
388,intermediate-0388,intermediate,"Alexander Alekhine - Leon Kussman, New York (simul) 1924","[""Qb5+"", ""Nd7"", ""Qxb5"", ""Nf6#""]",4,medium,268
389,intermediate-0389,intermediate,"Alexander Alekhine - J.Y. Downman, USA (simul) 1924","[""Rh6"", ""gxh6"", ""Bf6+"", ""Nf6+"", ""Qxh6"", ""Rg8"", ""Nf6"", ""Rg7"", ""Nxd7+"", ""Nxf6"", ""Kg8"", ""Ne7+"", ""Nxf6"", ""Qe7"", ""Qxh6"", ""Qxf6"", ""Qxf6+"", ""Kg8+""]",18,low,268
390,intermediate-0390,intermediate,"Alexander Alekhine - F. Casciato, USA (simul) 1924","[""Rxe5"", ""Bxd7+"", ""Kxd7"", ""Rxe5"", ""Qxh5"", ""Bxd7+"", ""Kxd7"", ""Rxh5+""]",8,medium,269
391,intermediate-0391,intermediate,"Walter Michel - Alexander Alekhine, Basel (simul) 1925","[""Nf5"", ""gxh5"", ""gxf5"", ""Qxf5+"", ""Rg6"", ""Bxc6"", ""Bxc6"", ""Rxc6""]",8,medium,269
392,intermediate-0392,intermediate,"Alexander Alekhine - H.A. Woher, Amsterdam (simul) 1925","[""Qf4+"", ""Kg1"", ""Nxh3+"", ""gxh3"", ""Qg3+"", ""Qxf3"", ""Qxa7"", ""Kh1"", ""Qxf3+""]",9,medium,269
393,intermediate-0393,intermediate,"Alexander Alekhine - A.H.M. Wap, Rotterdam (simul) 1925","[""Qc3"", ""Bxd4"", ""Qxd4"", ""Rd1"", ""Qf6"", ""c5"", ""b4"", ""f6"", ""bxc5""]",9,medium,269
394,intermediate-0394,intermediate,"Alexander Alekhine - Anna Stephan, Czechoslovakia (simul) 1925","[""d6+"", ""Kh8"", ""Be6"", ""Bxe6+"", ""Qxe6"", ""Nxe6""]",6,medium,269
395,intermediate-0395,intermediate,"Alexander Alekhine - Harold Lommer, Geneva (simul) 1925","[""Bxg7"", ""Nxg7"", ""Rxh6"", ""Rf8+"", ""Kh7"", ""Rh8#""]",6,medium,269
396,intermediate-0396,intermediate,"Alexander Alekhine - Walter Henneberger, Basel (simul) 1925","[""Nxc5"", ""dxc5"", ""Bd6"", ""Rxc3"", ""Bh4+"", ""g3"", ""Bd8"", ""Qxd2+"", ""Kxd2"", ""Nb3+"", ""Kc2"", ""Nxc1"", ""Bxa3"", ""Rxa3"", ""Rxc1"", ""Rxc3"", ""Qxc3"", ""Ra2"", ""Ra1+"", ""Bxc3""]",20,low,269
397,intermediate-0397,intermediate,"Alexander Alekhine - Moriz Henneberger, Basel (simul) 1925","[""Bh6"", ""Nf5"", ""gxh6"", ""Nf6+""]",4,medium,269
398,intermediate-0398,intermediate,"Alexander Alekhine - Karl Gilg, Czechoslovakia (simul) 1925","[""Nxf5"", ""Nxh7"", ""gxf5"", ""Rxf5+"", ""Nf3"", ""Ref8""]",6,medium,269
399,intermediate-0399,intermediate,"Alexander Alekhine - Edgard Colle, Paris 1925","[""Qxd7"", ""Rxd7"", ""Re8+"", ""Rc8+"", ""Rd8"", ""Kh7"", ""Rcc8""]",7,medium,269
400,intermediate-0400,intermediate,"Alexander Alekhine - Saint Germain, Paris (simul) 1925","[""Qxc6"", ""Qxc6"", ""Rd7"", ""Qxd7+"", ""Nce5+"", ""fxe5"", ""Nxe5+"", ""Kf6"", ""Rxc6+""]",9,medium,270
401,intermediate-0401,intermediate,"Alexander Alekhine - Peter Potemkin, Paris (simul) 1925","[""Rexe6+"", ""Raxe6+"", ""Qf3"", ""Nb6"", ""Qd6"", ""Rd1"", ""Qxb6"", ""Rxb6"", ""axb6"", ""Nb6"", ""Qxd1"", ""Rxd1"", ""Rd8"", ""Rxd8+"", ""Kxd8"", ""Rxa7"", ""Re8"", ""fxe6"", ""Rxe6+"", ""Kf7"", ""Qxe6"", ""Nc7+""]",22,low,270
402,intermediate-0402,intermediate,"Alexander Alekhine - N. Schwartz, London (simul) 1926","[""Bxg6+"", ""Nxg6"", ""dxe4"", ""Nxe7"", ""Bxg4"", ""Qxe4+"", ""Bf5"", ""Nxf5"", ""Qxf5"", ""Qxb7+"", ""Kh8"", ""Nxg6"", ""Nxg6"", ""Kg8"", ""Qxg6"", ""Re7+""]",16,low,270
403,intermediate-0403,intermediate,"Alexander Alekhine - Raul Molina, Buenos Aires 1926","[""Rxb2+"", ""Qxb2"", ""Rxb2"", ""Qd1+"", ""Qc1"", ""Qxc1#""]",6,medium,270
404,intermediate-0404,intermediate,"Alexander Alekhine - Julio Menendez, Buenos Aires 1926","[""Re2"", ""Rxe2"", ""Rxe2"", ""Qxe2"", ""Rf5"", ""Qh3+"", ""Qh2"", ""Qxf1+"", ""Qg1"", ""Qxg1#""]",10,medium,270
405,intermediate-0405,intermediate,"Alexander Alekhine - Colman Lerner, Buenos Aires 1926","[""d5""]",1,medium,270
406,intermediate-0406,intermediate,"Alexander Alekhine - Carmichael, Newcastle upon Tyne (simul) 1926","[""Bxh6+"", ""Kg8"", ""Kxh6"", ""Qe3+"", ""Kg7"", ""Qg5+"", ""Kh8"", ""Qh6+"", ""Kg8"", ""Re5""]",10,medium,270
407,intermediate-0407,intermediate,"Alexander Alekhine - Rudolf Spielmann, Semmering 1926","[""Rxc3"", ""bxc3"", ""Nxe4""]",3,medium,270
408,intermediate-0408,intermediate,"Frederick Yates - Alexander Alekhine, Kecskemet 1927","[""Rd8+"", ""Nh6"", ""Qc8"", ""Rg4"", ""Nxf7"", ""exd4"", ""Rd8+"", ""Qxd8"", ""Rxd8+"", ""Rxd8"", ""Nxf7"", ""Kxf7"", ""Rxd8"", ""Rxd8+"", ""Ke7"", ""Nh6"", ""gxh6"", ""Qxc2"", ""Re8+"", ""Kd6"", ""Nxf7+""]",21,low,270
409,intermediate-0409,intermediate,"Alexander Alekhine - Aron Nimzowitsch, New York 1927","[""Nxc5"", ""Nxc5"", ""Rd6+""]",3,medium,271
410,intermediate-0410,intermediate,"Alexander Alekhine - Carbonell, Barcelona (simul) 1928","[""Bxc5"", ""Qxc5"", ""b4"", ""Qxb4"", ""Rxe5+""]",5,medium,271
411,intermediate-0411,intermediate,"Alexander Alekhine - Efim Bogoljubov, Berlin (13) 1929","[""Qe4"", ""Rxe4"", ""Rc1+"", ""Re1"", ""Rxe1#""]",5,medium,271
412,intermediate-0412,intermediate,"Efim Bogoljubov - Alexander Alekhine, The Hague (18) 1929","[""Rxc7+"", ""Qxe6"", ""Bxh2"", ""Qxg4"", ""Qxc7"", ""Nc5+"", ""Kb6"", ""Qxc7+"", ""Kxc7"", ""Nxe6+"", ""Kd7"", ""Nxd8"", ""Kxd8""]",13,low,271
413,intermediate-0413,intermediate,"Alexander Alekhine - Mayerhofer, Regensburg 1930","[""Nxd4"", ""cxd4"", ""Nb7"", ""Qxd4+""]",4,medium,271
414,intermediate-0414,intermediate,"Alexander Alekhine - Salo Flohr, Bled 1931","[""e5"", ""Rc8"", ""Qd6"", ""e5"", ""Qf8"", ""Rc7"", ""Qd7"", ""Rc6"", ""Qe7"", ""exf6"", ""Qxf6"", ""Rxd8+"", ""Qxd8"", ""Qxe6+"", ""Kg7"", ""Qxa6"", ""f5"", ""fxe5"", ""Rc8"", ""Qd6"", ""Rc6+""]",21,low,271
415,intermediate-0415,intermediate,"Alexander Alekhine - Edgard Colle, Bled 1931","[""Bxd6"", ""Qxd6"", ""Bxf5""]",3,medium,271
416,intermediate-0416,intermediate,"Alexander Alekhine - Nate Grossman, New York (simul) 1932","[""Rxg3"", ""hxg3"", ""Ng4"", ""Nf4"", ""fxg4"", ""Qxg2#""]",6,medium,271
417,intermediate-0417,intermediate,"Alexander Alekhine - L. Castaneda, Guadalajara (simul) 1932","[""Bxf3"", ""Qh4+"", ""Ke2"", ""Bh5"", ""Ng3+"", ""gxf3"", ""Qxf3"", ""Rg1"", ""dxe6"", ""fxe6"", ""Qf2+"", ""Kd1"", ""Qxg1""]",13,low,271
418,intermediate-0418,intermediate,"Schut Bueters - Alexander Alekhine, Surabaya (simul) 1933","[""Nxf5"", ""e4"", ""Nf3+"", ""Kc2"", ""Nxg1"", ""Rxg1"", ""Nxf5"", ""Qe2"", ""exf5"", ""Bxd5""]",10,medium,271
419,intermediate-0419,intermediate,"Alexander Alekhine - Lista, Bratislava (simul) 1933","[""Ng6+"", ""Kh7"", ""Ne5+"", ""Kh8"", ""Be4"", ""Bxe4+""]",6,medium,271
420,intermediate-0420,intermediate,"Alexander Alekhine - W.J. Haeften, Jakarta (simul) 1933","[""f5"", ""exf5"", ""Nxg6"", ""fxg6"", ""Qxe7+""]",5,medium,272
421,intermediate-0421,intermediate,"Alexander Alekhine - Fricis Apsenieks, Folkestone (ol) 1933","[""Bg6"", ""fxg6"", ""Nxe5"", ""Nxe5"", ""Rc7"", ""Ba5""]",6,medium,272
422,intermediate-0422,intermediate,"Alexander Alekhine - Hoelsder, Amsterdam (simul) 1933","[""Ne5"", ""g6"", ""Qxg6"", ""Ne5"", ""Qxh5"", ""Rxh5"", ""dxe5"", ""dxe5"", ""g6"", ""Qc4"", ""Qxc4"", ""g6"", ""Qf1+"", ""Rxf1"", ""Be8"", ""Qxg6"", ""Qc4+"", ""Rf7"", ""Rh8#""]",19,low,272
423,intermediate-0423,intermediate,"Hermann Joss - Alexander Alekhine, Zurich 1934","[""Rxc1"", ""Qb2"", ""Nd3"", ""Qb3"", ""Ndf4"", ""e5"", ""dxe5"", ""Qb4+"", ""Kf2"", ""Rd2"", ""Qxd2"", ""Qxd2"", ""Nxc1"", ""Qxc1"", ""Qxe2#""]",15,low,272
424,intermediate-0424,intermediate,"Alexander Alekhine - Efim Bogoljubov, Germany (2) 1934","[""Rc8+"", ""Kf7"", ""Bxc8"", ""Qxe5+""]",4,medium,272
425,intermediate-0425,intermediate,"Alexander Alekhine - Efim Bogoljubov, Germany (16) 1934","[""e6"", ""Rdxg7"", ""Nxg7"", ""Rxg7"", ""Rxd5"", ""Rf8+"", ""cxd5"", ""Rf8+"", ""Kc7"", ""Rf7+"", ""Rxf7"", ""exf7""]",12,medium,272
426,intermediate-0426,intermediate,"Alexander Alekhine - Rafael Llorens, Barcelona (simul) 1935","[""Nxe3"", ""Qc3"", ""Kxe3"", ""Qxd4#""]",4,medium,272
427,intermediate-0427,intermediate,"Alexander Alekhine - Jan Foltys, Podebrady 1936","[""Nxe6"", ""Rxb7"", ""fxe6"", ""Qg4+"", ""Kh8"", ""Rxb7"", ""Rc7"", ""Rxc7""]",8,medium,272
428,intermediate-0428,intermediate,"William Winter - Alexander Alekhine, Nottingham 1936","[""Nc4"", ""bxc4"", ""Qa4+""]",3,medium,273
429,intermediate-0429,intermediate,"Alexander Alekhine - C.H.O’D. Alexander, Nottingham 1936","[""Bxf5"", ""gxf5"", ""Kh8+"", ""Nxf5"", ""Qh8"", ""Nh6+"", ""Kg7"", ""Qg5#""]",8,medium,273
430,intermediate-0430,intermediate,"Savielly Tartakower - Alexander Alekhine, Nottingham 1936","[""Nh2"", ""Qxh2"", ""Rg4+"", ""Qf3"", ""Rg4+"", ""Kh1"", ""Rh4""]",7,medium,273
431,intermediate-0431,intermediate,"Alexander Alekhine - Endre Steiner, Kemeri 1937","[""d6"", ""Bxd6"", ""Nf5""]",3,medium,273
432,intermediate-0432,intermediate,"Alexander Alekhine - Samuel Reshevsky, Kemeri 1937","[""Rxb8+"", ""Kxb8"", ""Qxe5+""]",3,medium,273
433,intermediate-0433,intermediate,"Alexander Alekhine - Max Euwe, Netherlands (14) 1937","[""Rxf5"", ""Rxf5"", ""Rcf6+"", ""Rxe8+""]",4,medium,273
434,intermediate-0434,intermediate,"Eliashoff/Kahn/Ros - Alexander Alekhine, Nice 1938","[""Rxf3"", ""gxf3"", ""Qh3"", ""Rg1"", ""Qxf3+"", ""Rg2"", ""Qxg2#""]",7,medium,273
435,intermediate-0435,intermediate,"Vladimirs Petrovs - Alexander Alekhine, Margate 1938","[""b4+"", ""Kxb4"", ""Rb7+""]",3,medium,273
436,intermediate-0436,intermediate,"Alexander Alekhine - Olivera, Montevideo 1939","[""Rxb7""]",1,medium,273
437,intermediate-0437,intermediate,"Alexander Alekhine - Arrais, Lisbon (simul) 1940","[""Nxe5"", ""Nxe5"", ""Bxd1"", ""Bxf7#""]",4,medium,273
438,intermediate-0438,intermediate,"Alexander Alekhine - A. Amores, Lisbon (simul) 1940","[""Nc5"", ""Qf7"", ""Qxd4"", ""Ne6+""]",4,medium,273
439,intermediate-0439,intermediate,"Max Bluemich - Alexander Alekhine, Krakow/Warsaw 1941","[""f4"", ""gxf4"", ""Nc2"", ""Nh4"", ""Nh2+"", ""Kg1"", ""Qf5"", ""Qe2"", ""Qb5"", ""gxh4"", ""Qe2+"", ""Kg1"", ""Qxd3""]",13,low,274
440,intermediate-0440,intermediate,"Herbert Weil - Alexander Alekhine, Lublin/Warsaw/Krakow 1942","[""Nd4"", ""exd4"", ""Qd1"", ""Rc1"", ""Rc2"", ""Nc4"", ""Qd1"", ""Rxb2""]",8,medium,274
441,intermediate-0441,intermediate,"Alexander Alekhine - Kurt Paul Richter, Munich 1942","[""Ne4"", ""Qg6"", ""Qe7"", ""b7"", ""Nxd6"", ""Nd4"", ""Qe5"", ""Nxd6""]",8,medium,274
442,intermediate-0442,intermediate,"Alexander Alekhine - Klaus Junge, Lublin/Warsaw/Krakow 1942","[""Bxf7+"", ""Qg5+"", ""Kh8"", ""Qf6+"", ""Kg8"", ""Rxd8"", ""Rxd8"", ""Bxf7+"", ""Qxf7"", ""Rxf7"", ""Qg5+""]",11,medium,274
443,intermediate-0443,intermediate,"Alexander Alekhine - Efim Bogoljubov, Salzburg 1943","[""Nf5"", ""Bxf5"", ""Rxd1"", ""Nxe7+"", ""Kf7"", ""Rxd1"", ""Kxe7""]",7,medium,274
444,intermediate-0444,intermediate,"Alexander Alekhine - Ruzena Sucha, Prague 1943","[""Rxd5""]",1,medium,274
445,intermediate-0445,intermediate,"Jaromir Florian - Alexander Alekhine, Prague 1943","[""Rxb2"", ""Kxb2"", ""Qe4"", ""Qb4+"", ""Kc1"", ""Qxc3+"", ""Qc2"", ""Qa1+"", ""Rf1+"", ""Qb1"", ""Rf1+""]",11,medium,274
446,intermediate-0446,intermediate,"Francesco Lupi - Alexander Alekhine, Sabadell 1945","[""Bxf3"", ""Be1"", ""gxf3"", ""h3"", ""Bxg2"", ""Bxh4"", ""e5""]",7,medium,274
447,intermediate-0447,intermediate,"Max Euwe - Richard Reti, Amsterdam (1) 1920","[""Bxg2+"", ""Kxg2"", ""Qg4+"", ""Qf2+"", ""Kh3"", ""Qf3+"", ""Kh4"", ""Bf2+"", ""g5+"", ""Kf1"", ""Qf3+"", ""Qxd1+"", ""Ke1"", ""Qf2#""]",14,low,275
448,intermediate-0448,intermediate,"Max Euwe - Henri Weenink, Amsterdam 1920","[""Ne7+"", ""Rxe7"", ""Kf8"", ""Qxf7+"", ""Nxc6+"", ""Kxf7"", ""Nxc6+""]",7,medium,275
