puzzleId,type,puzzleMoveCount,woodpeckerMoveCount,puzzleMoves,woodpeckerMoves
advanced-1096,mismatch,5,25,f6 Qg4 f6 gxf6 Bxh7+,f6 Qg4 f6 gxf6 Bxh7+ Qg4+ Kh8 Bxh7 fxe5 Qh5 f6 Bg6+ Bf5+ Qh7 Kg8 Rh3 Bxh7+ Kxh7 Qh5+ Kg8 Qg4+ Rh3 Ne4 Kh7 Bg5
advanced-1097,mismatch,1,13,Re1,Re1 Nf6+ Bxf6 Bxf6 Rxd6 Rxd6 Qf7 Bxf5 Rxd6 exd5 Rxe8 Qxe8 Qg7#
advanced-1098,mismatch,1,21,g4,g4 b5 Rcd8 c6 Rxd5 Rxd5 Rxd5 c7 Kd7 Kxd5 e3 Ne3 Rxd4+ Kxd4 Rd8+ Kc4 Rd3 Rg7 Rf7 b5+ Ne3
advanced-1099,mismatch,6,36,Rc8 Qxe7 Nc4 Rxa3 bxa3 Qxa3,Rc8 Qxe7 Nc4 Rxa3 bxa3 Qxa3 Nc4 Qa7+ Qa7 g6 Bc5 Rxa3 Bxa3 bxa3 Rxc5 Nxa3+ Kc1 Rxc5+ Kd2 Rc2+ Ke3 Nxa3+ bxa3 Qxa3 Rd2 b2 Ra8 Rxb2 Qd3+ Ka1 Ra8+ Ra2 Qc3+ Kb1 Rb8+ hxg6
advanced-1100,mismatch,4,29,Qh5 Bxe5 Nxe5 Qxh7+,Qh5 Bxe5 Nxe5 Qxh7+ fxe5 h6 exd6+ Kf7 fxe5 Rh8 exd6 Rxh7 Qd7 Qxh8 Rxh8 Rxh8+ dxc7+ fxe5 Qxh7+ Kf7 fxe5 Rh8 dxe5 Qb6+ Kh1 Kf7 Qxc2 Kf7 Nc4
advanced-1101,match,4,4,gxf7+ Kh8 Rxf7 Qxa8+,gxf7+ Kh8 Rxf7 Qxa8+
advanced-1102,mismatch,6,13,c5 f3 Rxc7 fxe4 bxc5 b5,c5 f3 Rxc7 fxe4 bxc5 b5 a4 bxa4 b5+ b5 cxb5 Rxc7 b6+
advanced-1103,mismatch,4,13,Bxf4 Nh6+ gxh6 Bxf4,Bxf4 Nh6+ gxh6 Bxf4 exf4 Nh6+ Kh8 gxh6 Qg4+ Kh8 Bg7 Nh5 Qf5
advanced-1104,mismatch,6,16,b4 f5 a Rc8 bxc5 Qxc5,b4 f5 Rc8 bxc5 Qxc5 Rexd4 Qxc3 Rd8+ Rxd8 Rxd8+ Kg7 Qxb6+ Rfd7 bxc5 Qxc5 Qxf6+
advanced-1105,mismatch,2,27,Bd3 Qh5,Bd3 Qh5 Ne5 Bxe5 Qxe5 Ng5 Nf6+ gxf6 Qxb7 Bd6 Qc7 Qxg5 Qxb7+ Bg6 fxg6 Nxe6+ Qa5 Ng5 Nf6+ gxf6 Qxb7 e5 Qxa8 exf4 Nf6+ gxf6 Qxb7
